time,chlor_a
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,0.15413576
2013-10-22,0.1525719
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,0.1945571
2013-10-28,0.18708315
2013-10-29,
2013-10-30,0.1887133
2013-10-31,
2013-11-01,0.16794038
2013-11-02,0.16053727
2013-11-03,
2013-11-04,0.18932597
2013-11-05,
2013-11-06,0.15763602
2013-11-07,0.17649096
2013-11-08,
2013-11-09,
2013-11-10,
2013-11-11,0.17781588
2013-11-12,0.18542749
2013-11-13,0.17456882
2013-11-14,
2013-11-15,0.1588545
2013-11-16,
2013-11-17,0.23990498
2013-11-18,0.18605548
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,0.17176951
2013-11-23,0.18247251
2013-11-24,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,0.18786192
2013-11-29,0.21395265
2013-11-30,
2013-12-01,0.18866086
2013-12-02,
2013-12-03,0.17289081
2013-12-04,0.16650239
2013-12-05,
2013-12-06,0.21684249
2013-12-07,
2013-12-08,0.20204152
2013-12-09,0.1820733
2013-12-10,
2013-12-11,0.23080298
2013-12-12,
2013-12-13,0.21034035
2013-12-14,0.20110045
2013-12-15,0.20539746
2013-12-16,
2013-12-17,0.21320382
2013-12-18,
2013-12-19,0.17348504
2013-12-20,0.17082648
2013-12-21,
2013-12-22,0.17949064
2013-12-23,
2013-12-24,0.1701213
2013-12-25,0.1915533
2013-12-26,
2013-12-27,0.22832815
2013-12-28,
2013-12-29,
2013-12-30,0.18096495
2013-12-31,0.19947833
2014-01-01,
2014-01-02,0.20194621
2014-01-03,
2014-01-04,0.1616835
2014-01-05,0.184696
2014-01-06,
2014-01-07,0.20557065
2014-01-08,
2014-01-09,0.19262241
2014-01-10,0.17700951
2014-01-11,
2014-01-12,0.20557697
2014-01-13,
2014-01-14,0.15936093
2014-01-15,0.16202638
2014-01-16,
2014-01-17,
2014-01-18,0.20153122
2014-01-19,
2014-01-20,0.1667961
2014-01-21,0.17192328
2014-01-22,
2014-01-23,0.203521
2014-01-24,
2014-01-25,0.17489341
2014-01-26,0.19490944
2014-01-27,
2014-01-28,0.21167757
2014-01-29,
2014-01-30,
2014-01-31,0.18020864
2014-02-01,0.20397802
2014-02-02,
2014-02-03,0.20283858
2014-02-04,
2014-02-05,0.16515124
2014-02-06,0.16534422
2014-02-07,
2014-02-08,0.18150216
2014-02-09,
2014-02-10,0.17077088
2014-02-11,0.18544814
2014-02-12,
2014-02-13,0.25303644
2014-02-14,
2014-02-15,0.17502356
2014-02-16,0.19360681
2014-02-17,
2014-02-18,
2014-02-19,0.1814985
2014-02-20,
2014-02-21,0.1838538
2014-02-22,0.21203916
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,0.14438227
2014-02-28,
2014-03-01,0.17371276
2014-03-02,
2014-03-03,0.17494676
2014-03-04,0.17567009
2014-03-05,
2014-03-06,
2014-03-07,0.18723916
2014-03-08,
2014-03-09,0.16560885
2014-03-10,0.13364175
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,0.21178424
2014-03-15,0.20594138
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,0.17799316
2014-03-24,
2014-03-25,0.16763306
2014-03-26,0.15717246
2014-03-27,
2014-03-28,0.15652324
2014-03-29,
2014-03-30,0.15835477
2014-03-31,0.1471019
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,0.17721571
2014-04-05,0.13039565
2014-04-06,
2014-04-07,0.15637414
2014-04-08,0.13756128
2014-04-09,
2014-04-10,0.1344068
2014-04-11,0.13681088
2014-04-12,
2014-04-13,0.14787306
2014-04-14,
2014-04-15,0.16597536
2014-04-16,
2014-04-17,
2014-04-18,0.16919865
2014-04-19,
2014-04-20,
2014-04-21,0.18572411
2014-04-22,0.18642163
2014-04-23,0.21353896
2014-04-24,0.15351129
2014-04-25,
2014-04-26,0.13440572
2014-04-27,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,0.16157858
2014-05-02,0.163047
2014-05-03,
2014-05-04,0.1406598
2014-05-05,
2014-05-06,0.16966209
2014-05-07,0.15729761
2014-05-08,0.14960022
2014-05-09,
2014-05-10,0.13757849
2014-05-11,
2014-05-12,0.16880536
2014-05-13,0.1768552
2014-05-14,
2014-05-15,0.18231511
2014-05-16,
2014-05-17,0.16867396
2014-05-18,
2014-05-19,
2014-05-20,0.18428665
2014-05-21,
2014-05-22,0.18451066
2014-05-23,0.16867682
2014-05-24,0.17095856
2014-05-25,0.1767322
2014-05-26,0.16488042
2014-05-27,
2014-05-28,0.18335156
2014-05-29,0.19069456
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,0.15782847
2014-06-03,0.15002719
2014-06-04,
2014-06-05,0.18654059
2014-06-06,
2014-06-07,0.1986772
2014-06-08,0.16878912
2014-06-09,0.16268887
2014-06-10,0.18028845
2014-06-11,0.1897609
2014-06-12,
2014-06-13,0.18658078
2014-06-14,0.17650531
2014-06-15,
2014-06-16,0.18483856
2014-06-17,
2014-06-18,0.2005137
2014-06-19,0.19713964
2014-06-20,
2014-06-21,
2014-06-22,
2014-06-23,0.20748885
2014-06-24,
2014-06-25,0.18861385
2014-06-26,0.20029725
2014-06-27,0.21417224
2014-06-28,
2014-06-29,0.19365114
2014-06-30,0.18944804
2014-07-01,0.19648702
2014-07-02,0.19118577
2014-07-03,
2014-07-04,0.1607087
2014-07-05,0.1981394
2014-07-06,
2014-07-07,0.20712124
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-12,0.23582006
2014-07-13,
2014-07-14,
2014-07-15,0.21273081
2014-07-16,0.21284783
2014-07-17,
2014-07-18,0.23790853
2014-07-19,
2014-07-20,
2014-07-21,0.17171687
2014-07-22,
2014-07-23,0.23444201
2014-07-24,
2014-07-25,0.23895171
2014-07-26,0.22801986
2014-07-27,0.20894288
2014-07-28,
2014-07-29,0.24276677
2014-07-30,
2014-07-31,0.17238687
2014-08-01,0.15500203
2014-08-02,
2014-08-03,0.17184116
2014-08-04,
2014-08-05,0.16319896
2014-08-06,0.15842287
2014-08-07,
2014-08-08,0.17587875
2014-08-09,
2014-08-10,0.19025896
2014-08-11,0.19365051
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-16,0.19633268
2014-08-17,0.20440187
2014-08-18,
2014-08-19,0.14747173
2014-08-20,
2014-08-21,0.1805222
2014-08-22,0.14911003
2014-08-23,
2014-08-24,
2014-08-25,
2014-08-26,0.20183735
2014-08-27,0.2406223
2014-08-28,
2014-08-29,
2014-08-30,0.16968301
2014-08-31,
2014-09-01,0.15546311
2014-09-02,0.15019834
2014-09-03,
2014-09-04,0.16823317
2014-09-05,
2014-09-06,0.1521729
2014-09-07,0.1576862
2014-09-08,
2014-09-09,0.18571141
2014-09-10,
2014-09-11,0.17915978
2014-09-12,0.14837694
2014-09-13,0.15769288
2014-09-14,
2014-09-15,0.14080653
2014-09-16,
2014-09-17,0.12611161
2014-09-18,0.1290337
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,0.15372087
2014-09-23,0.16136287
2014-09-24,
2014-09-25,
